Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RecorderdOrder,Chrome 70.0.3538.102,,2018-11-13 14:02:09,2018-11-13 14:02:23,"14,353s",FAILED
,,,,,,
Test Cases/RecorderdOrder/RecorderdOrder,Chrome 70.0.3538.102,,2018-11-13 14:02:09,2018-11-13 14:02:23,"13,390s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-13 14:02:10,2018-11-13 14:02:13,"3,221s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-13 14:02:13,2018-11-13 14:02:13,"0,229s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 14:02:13,2018-11-13 14:02:13,"0,235s",PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-13 14:02:13,2018-11-13 14:02:13,"0,192s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:02:13,2018-11-13 14:02:14,"0,245s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:02:14,2018-11-13 14:02:15,"1,190s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:02:15,2018-11-13 14:02:15,"0,165s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:02:15,2018-11-13 14:02:17,"1,685s",PASSED
click,Chrome 70.0.3538.102,,2018-11-13 14:02:17,2018-11-13 14:02:23,"5,875s",FAILED
